id,title,url,date,medium,source_host,attribution_type,confidence,tier,status,raw_path,processed_path,notes
ad92e1aca1,Post image,https://alpha.school/wp-content/uploads/2025/07/Screenshot-2025-08-05-at-1.02.11-PM.webp,,url,alpha.school,macKenzie-adjacent,0.70,B,discovered,,,"e](https://alpha.school/wp-content/uploads/2025/07/00nat-ai-education-top-jtlg-superJumbo.webp) - [Alpha Schools reimagine education through AI - Alpha School](https://alpha.school/news/alpha-schools-reimagine-education-through-ai/)   - Excerpt:  MacKenzie Price, co-founder of Alpha Schools, discuss"
57c68f54e4,,https://alpha.school/wp-content/uploads/2025/08/DSC03795-1024x853.webp,,url,alpha.school,macKenzie-adjacent,0.70,B,discovered,,,one Is Wrong About Motivation ](https://youtu.be/ZP3gOj4G3ic?feature=shared&t=1173)  What comes next ---------------  Artificial Intelligence has made one-to-one tutoring possible for *every student.* Alpha has shown what happens when **technology amplifies motivation instead of replacing it.**  The
9881c8b728,,https://alpha.school/wp-content/uploads/2025/10/pattern-breakers-podcast-joe-liemandt.webp,,url,alpha.school,macKenzie-adjacent,0.70,B,discovered,,,he original Alpha School in Austin. She founded the school a decade ago with the principle that kids must love it.  Share -----  -  -  -   Listen ------  - [    Spotify ](https://open.spotify.com/episode/7Abwhk3WNnHDHW9vjUccuC?si=expqS84JQ8a1FjSB7P39Yg) - [    Apple Podcast ](https://podcasts.apple.
3e106f30fe,*Miami’s Community News*: Alpha School Miami: The Future of Education in Our Community,https://communitynewspapers.com/aventura-news/alpha-school-miami-the-future-of-education-in-our-community/,,url,communitynewspapers.com,macKenzie-adjacent,0.70,B,discovered,,,i-artifical-intelligence-lessons-life-skills/)  [*South Florida Business Journal*: Reimagining school: How MacKenzie Price is disrupting education with Alpha School’s groundbreaking learning model](https://www.bizjournals.com/southflorida/news/2025/07/25/alpha-school-model-creates-future-ready-stude
939566d885,![Video,https://img.youtube.com/vi/dst2hGUYT28/hqdefault.jpg,,url,img.youtube.com,event-description,0.70,B,discovered,,,"iemandt/)  Generated timestamp: 2026-04-23 11:22:37 UTC  # Page  - **Name**: What is 2 Hour Learning? | Alpha School - **URL**: https://alpha.school/2-hour-learning/ - **Description**: Explore the science, implementation, and extraordinary outcomes of 2 Hour Learning, with data from Alpha School.  W"
eecfa8d9b4,Peter Attia Podcast with Joe Liemandt,https://peterattiamd.com/joeliemandt,,url,peterattiamd.com,macKenzie-adjacent,0.70,B,discovered,,,"/2025/08/DSC03795-1024x853.webp)         Ten years ago, we asked whether kids could love school and still perform at the top one percent. Today, the data and the joy both say yes.    – Joe Liemandt,  Alpha School Co-founder and Principal   [     Watch the Full 2.5-Hour Talk  ](https://www.youtube.co"
8b43fea0ac,Apple Podcast,https://podcasts.apple.com/us/podcast/joe-liemandt-the-ai-powered-school-rewriting-the/id1488560647?i=1000725718931,,url,podcasts.apple.com,macKenzie-adjacent,0.70,B,discovered,,,sales reps didn’t sell products that couldn’t be manufactured. - **MacKenzie Price:** The Stanford-educated co-founder of the original Alpha School in Austin. She founded the school a decade ago with the principle that kids must love it.  Share -----  -  -  -   Listen ------  - [    Spotify ](https:
a6a0205b5c,Waypoint Academy,https://waypointacademy.school/,,url,waypointacademy.school,event-description,0.70,B,discovered,,,"ludes, and other practical details families often ask about.   - [Careers](https://www.crossover.com/clients/alpha) - Specialty Schools   - [GT School](https://gt.school)   - [Montessorium](https://montessorium.school)   - [NextGen Academy](https://nextgenacademy.school)   - [Nova Academy](https://n"
0a646511d7,*South Florida Business Journal*: Reimagining school: How MacKenzie Price is disrupting education with Alpha School’s groundbreaking learning model,https://www.bizjournals.com/southflorida/news/2025/07/25/alpha-school-model-creates-future-ready-students.html,,url,www.bizjournals.com,macKenzie-adjacent,0.70,B,discovered,,,://alpha.school/miami/2/)    In the News -----------  [*CBS News*: Alpha School Miami using AI to help guide academics so students can focus on life skills](https://www.cbsnews.com/miami/news/alpha-miami-artifical-intelligence-lessons-life-skills/)  [*South Florida Business Journal*: Reimagining sch
7b50c08456,*CBS News*: Alpha School Miami using AI to help guide academics so students can focus on life skills,https://www.cbsnews.com/miami/news/alpha-miami-artifical-intelligence-lessons-life-skills/,,url,www.cbsnews.com,macKenzie-adjacent,0.70,B,discovered,,,unishments/)     ###  [ ‘We Have Been Underestimating Children’ ](https://alpha.school/blog/we-have-been-underestimating-children/)    [ Read More ](https://alpha.school/blog/we-have-been-underestimating-children/)     « Previous[Next »](https://alpha.school/miami/2/)    In the News -----------  [*C
7f6f6820de,ABC News Live Prime Report,https://www.instagram.com/reel/DOe2jpfDJyM/,,url,www.instagram.com,macKenzie-adjacent,0.70,B,discovered,,,under and Principal   [     Watch the Full 2.5-Hour Talk  ](https://www.youtube.com/watch?v=ZP3gOj4G3ic)      THE WORLD IS WATCHING        [Peter Attia Podcast with Joe Liemandt   ](https://peterattiamd.com/joeliemandt)  [New York Times Hard Fork Podcast Featuring MacKenzie Price   ](https://www.nyt
5d6cacc000,New York Times Hard Fork Podcast Featuring MacKenzie Price,https://www.nytimes.com/2025/09/05/podcasts/hardfork-education-alpha-school.html,,url,www.nytimes.com,macKenzie-adjacent,0.70,B,discovered,,,"ll perform at the top one percent. Today, the data and the joy both say yes.    – Joe Liemandt,  Alpha School Co-founder and Principal   [     Watch the Full 2.5-Hour Talk  ](https://www.youtube.com/watch?v=ZP3gOj4G3ic)      THE WORLD IS WATCHING        [Peter Attia Podcast with Joe Liemandt   ](htt"
a29a3a21c8,Video,https://youtu.be/dst2hGUYT28,,url,youtu.be,event-description,0.70,B,discovered,,,"sing-ai-with-alpha-school-principal-joe-liemandt/)  Generated timestamp: 2026-04-23 11:22:37 UTC  # Page  - **Name**: What is 2 Hour Learning? | Alpha School - **URL**: https://alpha.school/2-hour-learning/ - **Description**: Explore the science, implementation, and extraordinary outcomes of 2 Hour "
6bf705471b,I Went on a Podcast about Supporting Your Kid's Curiosity - Alpha School,https://alpha.school/blog/i-went-on-a-podcast-about-supporting-your-kids-curiosity/,,url,alpha.school,unknown-author,0.35,C,discovered,,,pha.school/blog/your-kids-social-life-matters-more-than-academics/)   - Excerpt: And traditional schools are failing in both areas.   - Image: ![Post image](https://alpha.school/wp-content/uploads/2026/02/https3A2F2Fsubstack-post-media.s3.amazonaws.com2Fpublic2Fimages2Fbb539a0f-8639-4b95-b8de-dbdeb1
1f62338642,Life Skills Workshops at Alpha School: Creating Future-Ready Students - Alpha School,https://alpha.school/blog/life-skills-workshops-at-alpha-school-creating-future-ready-students/,,url,alpha.school,unknown-author,0.35,C,discovered,,,hrough Educational Transformation Ever thought about turning the traditional education system on its head? Picture this: your kid achieves more in a mere two hours…   - Image: ![Post image](https://alpha.school/wp-content/uploads/2025/03/freepik__an-engaging-and-informative-image-in-bright-blue-a__3
53bc892610,In the News | Alpha School,https://alpha.school/news/,,url,alpha.school,unknown-author,0.35,C,discovered,,,"end-of-session"" parent survey. Although we encourage all parents to fill… - [Fall 2025 Academic Talk - Review](https://alpha.school/fall-2025-academic-talk-review/): Each Fall and Spring, we host an Academic Talk — a session designed to bring parents into the heart of what makes Alpha different. Thi"
ef66628c82,5 Forces Educational Innovators Should Know About - Alpha School,https://alpha.school/news/5-forces-educational-innovators-should-know-about-2/,,url,alpha.school,unknown-author,0.35,C,discovered,,,"w things are more important than education. Unfortunately, the U.S. education system has been under siege for years, with understaffed schools, overcrowded classrooms and overworked, underpaid teachers. The government’s own…   - Image: ![Post image](https://alpha.school/wp-content/uploads/2025/02/01"
597e6d1702,AI-focused private school expands - Alpha School,https://alpha.school/news/ai-focused-private-school-expands-2/,,url,alpha.school,unknown-author,0.35,C,discovered,,,"ics-at-new-virtual-charter-school-2/)   - Excerpt: Opening this fall in Arizona, Unbound Academy will use AI to condense core academic lessons to two hours a day, followed by workshops, mentorship sessions and student-led projects, per the…   - Image: ![Post image](https://alpha.school/wp-content/up"
3ec13057ee,"AI is running the classroom at this Texas school, and students say 'it's awesome' - Alpha School",https://alpha.school/news/ai-is-running-the-classroom-at-this-texas-school-and-students-say-its-awesome/,,url,alpha.school,unknown-author,0.35,C,discovered,,,"- Excerpt: As dissatisfied American parents look for education alternatives in the wake of pandemic-era frustrations with the status quo, the role of the teacher is rapidly evolving, with some private schools…   - Image: ![Post image](https://alpha.school/wp-content/uploads/2025/05/alpha-2.webp) - ["
216d0aef3b,AI-powered virtual school where kids spend just 2 hours on academics coming to Arizona - Alpha School,https://alpha.school/news/ai-powered-virtual-school-where-kids-spend-just-2-hours-on-academics-coming-to-arizona-2/,,url,alpha.school,unknown-author,0.35,C,discovered,,,poised to make good on his campaign pledge to dismantle the Department of Education. The president-elect's frustration with the wayward direction of federal education is understandable —…   - Image: ![Post image](https://alpha.school/wp-content/uploads/2025/02/01JF05GPS5TCGDW8935FE3WQA4.webp) - [AI-
fadae8145a,AI System Will Drive Academics at New Virtual Charter School - Alpha School,https://alpha.school/news/ai-system-will-drive-academics-at-new-virtual-charter-school-2/,,url,alpha.school,unknown-author,0.35,C,discovered,,,"-2/)   - Excerpt: The Texas founders of an unconventional AI-based learning model want to expand into Pennsylvania, pitching a plan for a cyber charter school that would replace teachers with software and squeeze…   - Image: ![Post image](https://alpha.school/wp-content/uploads/2025/02/01JJ9TNHTD4DV"
e51263251b,"ABC NEWS: Alpha Schools empower students to learn twice as fast and love school again, achieving top academic outcomes - Alpha School",https://alpha.school/news/alpha-school-featured-on-abc-news-a-new-model-for-learning/,,url,alpha.school,unknown-author,0.35,C,discovered,,,"hools might learn from Alpha School — a private, AI-powered school in Texas charging around $40,000 per year. Alpha’s model blends personalized, technology-driven…   - Image: ![Post image](https://alpha.school/wp-content/uploads/2026/03/ai-tech-in-schools.webp) - [ABC NEWS: Alpha Schools empower stu"
28b5c0f1d9,Alpha School Miami: The Future of Education in Our Community - Alpha School,https://alpha.school/news/alpha-school-miami-the-future-of-education-in-our-community/,,url,alpha.school,unknown-author,0.35,C,discovered,,,"s, freeing time for life skills. This model enhances engagement and offers personalized AI tutors, allowing students to excel in core subjects. Join us in redefining education and unlocking every student's potential!   - Image: ![Post image](https://alpha.school/wp-content/uploads/2025/03/Alpha-Blog"
39ed91afb7,Alpha School uses AI to teach students academics for just two hours a day - Alpha School,https://alpha.school/news/alpha-school-uses-ai-to-teach-students-academics-for-just-two-hours-a-day-2/,,url,alpha.school,unknown-author,0.35,C,discovered,,,"An innovative new school opens in Miami set out to redefine education for families looking beyond the traditional school model. It’s a school where 8-year-olds launch startups, 10-year-olds give TED-style…   - Image: ![Post image](https://alpha.school/wp-content/uploads/2025/03/Alpha-Blog-Image-Size"
dd560639dd,Alpha School: Using AI To Unleash Students And Transform Teaching - Alpha School,https://alpha.school/news/alpha-school-using-ai-to-unleash-students-and-transform-teaching-2/,,url,alpha.school,unknown-author,0.35,C,discovered,,,"s-2/)   - Excerpt: Alpha School, the private school that made headlines last year for its AI-powered, two-hour learning periods, is expanding in Austin. Why it matters: An increasing share of Austin kids are…   - Image: ![Post image](https://alpha.school/wp-content/uploads/2025/02/01JJEWMNED3F0NT99S"
7224d64489,Alpha School: Using AI To Unleash Students And Transform Teaching - Alpha School,https://alpha.school/news/alpha-school-using-ai-to-unleash-students-and-transform-teaching/,,url,alpha.school,unknown-author,0.35,C,discovered,,,"ken/)   - Excerpt: Makers of the popular social app tried to remedy the problem, but even the fix is causing drama It’s called the Snapchat increase; green up pointing triangle half-swipe, and it’s making a lot…   - Image: ![Post image](https://alpha.school/wp-content/uploads/2025/03/Alpha-Blog-Imag"
ccfa3c8c87,Austin school that uses AI instead of teachers opens esports academy with similar concept - Alpha School,https://alpha.school/news/austin-school-that-uses-ai-instead-of-teachers-opens-esports-academy-with-similar-concept/,,url,alpha.school,unknown-author,0.35,C,discovered,,,"better-solution/)   - Excerpt: Welcome to 2 Hour Learning, where kids learn twice as much, twice as fast. It’s true — kids can crush academics in just two hours a day. And by “crush,”…   - Image: ![Post image](https://alpha.school/wp-content/uploads/2025/02/01JM258J2QW83MCZPMWH59HK87.webp) - [Austin"
e0a8e9ad55,"Could AI Really Replace Teachers? Not So Fast, Experts Say - Alpha School",https://alpha.school/news/could-ai-really-replace-teachers-not-so-fast-experts-say/,,url,alpha.school,unknown-author,0.35,C,discovered,,,"uable-classroom-inside-a-food-truck/)   - Excerpt:  At this time of year, there’s a question on the minds of parents and teachers: what did you learn this year? Students at a school in Austin, Texas had a…   - Image: ![Post image](https://alpha.school/wp-content/uploads/2025/06/Screenshot-2025-08-05"
1faea7a8d1,Don't dismantle the Department of Education just yet - Alpha School,https://alpha.school/news/dont-dismantle-the-department-of-education-just-yet-2/,,url,alpha.school,unknown-author,0.35,C,discovered,,,"nt-how-edtech-will-democratize-learning-2/)   - Excerpt: In our current U.S. education system, we tend to “track” students from a very young age—and once on this path, it’s hard for any student who falls behind to change…   - Image: ![Post image](https://alpha.school/wp-content/uploads/2025/02/01JE9"
ed94b4f376,How AI And Humans Will Transform The Current Education System - Alpha School,https://alpha.school/news/how-ai-and-humans-will-transform-the-current-education-system-2/,,url,alpha.school,unknown-author,0.35,C,discovered,,,"n-education-2/)   - Excerpt: Hailed as heroes but paid like afterthoughts, teachers are leaving classrooms in droves as AI technology knocks on the door. Sixty percent of U.S. adults say they wouldn’t want their…   - Image: ![Post image](https://alpha.school/wp-content/uploads/2025/02/01JDWD2A18R6AM"
1d070f2649,How AI Is Changing The Role Of Teachers In Education - Alpha School,https://alpha.school/news/how-ai-is-changing-the-role-of-teachers-in-education-2/,,url,alpha.school,unknown-author,0.35,C,discovered,,,"r-just-two-hours-a-day-2/)   - Excerpt: AUSTIN, Texas - One Austin woman believes traditional schooling is outdated and filled with busy work. That's why she created a new learning method where there are no teachers, and…   - Image: ![Post image](https://alpha.school/wp-content/uploads/2025/02/01JDM"
1624542816,Should We Allow AI Into the Classroom? - Alpha School,https://alpha.school/news/should-we-allow-ai-into-the-classroom/,,url,alpha.school,unknown-author,0.35,C,discovered,,,"rest of the day developing real-world skills. By allowing students to learn at their own pace with adaptive technology, Alpha is redefining traditional classrooms and offering a compelling vision for the future of education.   - Image: ![Post image](https://alpha.school/wp-content/uploads/2025/12/AB"
542b4d3c24,"The six-hour school day is dead. Luckily, there's an even better solution. - Alpha School",https://alpha.school/news/the-six-hour-school-day-is-dead-luckily-theres-an-even-better-solution/,,url,alpha.school,unknown-author,0.35,C,discovered,,,"epresents a radical departure from traditional education. Their model is built around a bold claim: By leveraging AI-driven, adaptive learning technology, students can complete an entire day’s worth…   - Image: ![Post image](https://alpha.school/wp-content/uploads/2025/02/01JKT2X9CPK741DVQKKDF48ZKP."
c7eb097eb5,The Snapchat Move That Leaves Teen Girls Heartbroken - Alpha School,https://alpha.school/news/the-snapchat-move-that-leaves-teen-girls-heartbroken/,,url,alpha.school,unknown-author,0.35,C,discovered,,,"ents-say-its-awesome/)   - Excerpt: At a time when many American students are struggling to keep up, a private school in Texas is doing more with less, much less.At Alpha School, students spend just two hours a…   - Image: ![Post image](https://alpha.school/wp-content/uploads/2025/08/Screenshot-2025"
a5d49b6192,There’s No Such Thing As A ‘C’ Student: How EdTech Will Democratize Learning - Alpha School,https://alpha.school/news/theres-no-such-thing-as-a-c-student-how-edtech-will-democratize-learning-2/,,url,alpha.school,unknown-author,0.35,C,discovered,,,": As you read this, new kinds of schools are being designed, launched and expanded. Many are utilizing the power of Artificial Intelligence. Take for example, Synthesis School and their AI-powered…   - Image: ![Post image](https://alpha.school/wp-content/uploads/2025/02/01JDWDZ9T9YJ86YA51H9MNEVS1.we"
00739e6080,This Pennsylvania cyber charter proposal would replace teachers with AI-based lessons - Alpha School,https://alpha.school/news/this-pennsylvania-cyber-charter-proposal-would-replace-teachers-with-ai-based-lessons-2/,,url,alpha.school,unknown-author,0.35,C,discovered,,,: The Arizona State Board for Charter Schools has greenlit a virtual charter school where computer programs will teach students “core instruction” for just two hours per day. In those two…   - Image: ![Post image](https://alpha.school/wp-content/uploads/2025/02/01JFD4CVN11RB0JK36R6CHMDDC.webp) - [Th
6a80321ead,"What Public Schools and Parents Can Learn from a $40,000-a-Year Private School - Alpha School",https://alpha.school/news/what-public-schools-and-parents-can-learn-from-a-40000-a-year-private-school/,,url,alpha.school,unknown-author,0.35,C,discovered,,,"dents answers, but to adapt lessons in real time and support mastery-based learning—preparing students with the skills, mindset, and independence they need to succeed in the future.   - Image: ![Post image](https://alpha.school/wp-content/uploads/2026/02/Screenshot-2026-03-05-at-14.51.56-scaled.webp"
0b013ba41c,*Fort Worth Magazine*: Alpha School Fort Worth Reinvents Education with AI Learning,https://fwtx.com/news/alpha-school-fort-worth-reinvents-education-with-ai-learning/,,url,fwtx.com,third-party-about-alpha,0.25,C,discovered,,,"»](https://alpha.school/fort-worth/2/)    In the News -----------  [FOX West Texas: No Homework, No Grades, No Robot Teachers at Texas AI Schools](https://www.myfoxzone.com/article/news/politics/yall-itics/yallitics-no-homework-grades-robot-teachers-at-texas-ai-schools/287-2b257cbd-6142-4d1b-b767-b8"
da5fd72ee6,![Video,https://img.youtube.com/vi/25iE7npgcz8/hqdefault.jpg,,url,img.youtube.com,video-audio-candidate,0.40,B/C,discovered,,,"sco, ***kids love school.*** We’re not just preparing students for tests; we’re preparing them for limitless futures.   Alpha San Francisco is open and enrolling.  Join us for an info session at 3741 Buchanan St. in the Marina District and see firsthand why Alpha is ranked among the best private sch"
d7cc9028de,![Video,https://img.youtube.com/vi/2MEx47nJby4/hqdefault.jpg,,url,img.youtube.com,video-audio-candidate,0.40,B/C,discovered,,,1% nationwide.  ![](https://alpha.school/wp-content/uploads/2024/11/3.webp)#### Learn Life Skills  Alpha students spend afternoons developing life skills and exploring their passions.  [Video](https://www.youtube.com/watch?v=ierWJrUe4iE)  [![Video](https://img.youtube.com/vi/ierWJrUe4iE/hqdefault.jp
8568ea27f3,![Video,https://img.youtube.com/vi/3Um-HeszH3I/hqdefault.jpg,,url,img.youtube.com,video-audio-candidate,0.40,B/C,discovered,,,K - 1st Grade  [Video](https://youtu.be/Ej5OBcX5C7o)  [![Video](https://img.youtube.com/vi/Ej5OBcX5C7o/hqdefault.jpg)](https://youtu.be/Ej5OBcX5C7o)  ##### Level 1 | 2nd - 3rd Grade  [Video](https://youtu.be/qNTmxzcsES4)  [![Video](https://img.youtube.com/vi/qNTmxzcsES4/hqdefault.jpg)](https://youtu
96b7eaf682,Business Launch Pad,https://img.youtube.com/vi/4IL5TOk-2r4/maxresdefault.jpg,,url,img.youtube.com,video-audio-candidate,0.40,B/C,discovered,,,"youtube.com/vi/pUByfy0vcEs/maxresdefault.jpg)    Code &amp; Create Team      WATCH      Code self-driving cars, drones, and video games with a partner      Storytelling + Public Speaking     ![Podcast Host](https://alpha.school/wp-content/uploads/2025/08/podcast-host.webp)    Podcast Host       Book"
d5b54098b4,![Video,https://img.youtube.com/vi/58TToab2FA4/hqdefault.jpg,,url,img.youtube.com,video-audio-candidate,0.40,B/C,discovered,,,"Alpha Palm Beach, ***kids love school.*** We’re not just preparing students for tests; we’re preparing them for limitless futures.   Alpha Palm Beach is open and enrolling.  Join us for an info session at our campus on 353 Hiatt Drive, and see firsthand why Alpha is ranked among the best private sch"
463a303ce9,![Video,https://img.youtube.com/vi/5Vo16UaJ26o/hqdefault.jpg,,url,img.youtube.com,video-audio-candidate,0.40,B/C,discovered,,,"Experiential Learning:** Whether it’s solving a 45-second pit stop challenge or exploring the breadth of global art styles, our workshops teach students how to navigate the real world with confidence.  - **Life-Long Impact:** From learning how to learn to mastering communication, students leave Alph"
b977e8a591,![Video,https://img.youtube.com/vi/5hx-T5OGbuM/hqdefault.jpg,,url,img.youtube.com,video-audio-candidate,0.40,B/C,discovered,,,"res.   Alpha Orange County is open and enrolling.  Join us for an info session at our campus on 26462 Towne Centre Dr, conveniently located in Foothill Ranch near the Foothill Ranch Towne Centre and just minutes from the 241 Toll Road, and see firsthand why Alpha is ranked among the best private sch"
beab04a560,![Video,https://img.youtube.com/vi/9hx7b45MvHk/hqdefault.jpg,,url,img.youtube.com,video-audio-candidate,0.40,B/C,discovered,,,"ring them for limitless futures.   Alpha Santa Barbara is open and enrolling.  Join us for an info session at our campus on 27 E Cota St, conveniently located in the heart of downtown Santa Barbara, less than a block from State Street, and see firsthand why Alpha is ranked among the best private sch"
7cb633290f,![Video,https://img.youtube.com/vi/9ywA5oNmYaM/hqdefault.jpg,,url,img.youtube.com,video-audio-candidate,0.40,B/C,discovered,,,"location, in Lower Manhattan’s Financial District, just steps from the East River waterfront and the iconic South Street Seaport. It’s one block from the Imagination Playground, with Battery Park and the Brooklyn Bridge a short walk away. See firsthand why Alpha is ranked among the best private scho"
bf260894bd,Startup Founder,https://img.youtube.com/vi/B10wOUFDAIk/maxresdefault.jpg,,url,img.youtube.com,video-audio-candidate,0.40,B/C,discovered,,,ing Crew](https://img.youtube.com/vi/IxOR6gacPZ0/maxresdefault.jpg)    Pirates &amp; Sailing Crew      WATCH      Learn to sail to earn a trip to the Bahamas      Storytelling + Public Speaking     ![TEDx Speaker](https://alpha.school/wp-content/uploads/2025/08/tedx-speaker.webp)    TEDx Speaker    
899a5f21e2,![Video,https://img.youtube.com/vi/CuSijUisnyE/hqdefault.jpg,,url,img.youtube.com,video-audio-candidate,0.40,B/C,discovered,,,"n - **URL**: https://alpha.school/admission/ - **Description**: Learn about the admissions process at Alpha School. Discover how to apply and join our top-ranked educational program.  See what’s possible in 30 days. ===============================  In the first month at Alpha, curiosity ignites and "
37a65570c5,![Video,https://img.youtube.com/vi/Da9pAmD2CxQ/hqdefault.jpg,,url,img.youtube.com,video-audio-candidate,0.40,B/C,discovered,,,"g them for limitless futures.   Opened in 2022 to serve the South Texas community, Alpha Brownsville is now the academic network’s fastest-growing campus.  Join us for an info session at our campus at 591 N. Central Ave, and see firsthand why Alpha is ranked among the best private schools thanks to "
59c55b12cb,![Video,https://img.youtube.com/vi/ENdAWT6N0V4/hqdefault.jpg,,url,img.youtube.com,video-audio-candidate,0.40,B/C,discovered,,,th concept-based mastery and without any knowledge gaps.  Motivation with the right reward --------------------------------  We motivate kids by giving them the gift of time to pursue the things they want to do and develop life skills. Adults in the room support motivated students to foster a growth
33daa14ad4,![Video,https://img.youtube.com/vi/Ej5OBcX5C7o/hqdefault.jpg,,url,img.youtube.com,video-audio-candidate,0.40,B/C,discovered,,,n/?submission_campus=austin_k8)    [Location on Google Maps](https://maps.app.goo.gl/s6eRTLf2ytaeug867)   Alpha Austin  Meet our Team -------------  ##### Wonder Lab | PreK Grade  [Video](https://youtu.be/SrBwaZFfQOE)  [![Video](https://img.youtube.com/vi/SrBwaZFfQOE/hqdefault.jpg)](https://youtu.be
6f7131804d,5-Mile Bike Challenge,https://img.youtube.com/vi/GNVKlZ8Rcto/maxresdefault.jpg,,url,img.youtube.com,video-audio-candidate,0.40,B/C,discovered,,,ect](https://vumbnail.com/837039532.jpg)    Water for Life Project      WATCH      Raise and donate money to provide fresh water      Relationship Building + Socialization     ![AI Teaching Assistant](https://alpha.school/wp-content/uploads/2025/08/ai-teaching-assistant.webp)    AI Teaching Assistan
30d04998a6,![Video,https://img.youtube.com/vi/H23Z_WjgOFY/hqdefault.jpg,,url,img.youtube.com,video-audio-candidate,0.40,B/C,discovered,,,"ts; we’re preparing them for limitless futures.   Alpha Austin is open and enrolling.  Join us for an info session at our campus at 1201 Spyglass Dr, conveniently located in Barton Hills, just off MoPac near Zilker Park, and see firsthand why Alpha is ranked among the best private schools thanks to "
