id,query,title,url,source_host,attribution_type,confidence,tier,status
cec8caa07a,MacKenzie Price Alpha School transcript,#981 - MacKenzie Price - Alpha School: A New Approach To Education,https://mcaneff.github.io/podcasts-to-books/chris-williamson/981-mackenzie-price-alpha-school-a-new-approach-to-education/,mcaneff.github.io,spoken-transcript-candidate,0.75,A-candidate,discovered
1acf8495a0,MacKenzie Price Alpha School transcript,Alpha School: A New Approach To Education - MacKenzie Price,https://www.texthub.space/transcripts/chris-williamson/alpha-school-a-new-approach-to-education-mackenzie-price,www.texthub.space,spoken-transcript-candidate,0.75,A-candidate,discovered
7e4b31de9b,MacKenzie Price Alpha School Modern Wisdom 981 transcript,#981 - Mackenzie Price - Alpha School: A New Approach To Education,https://podpulse.ai/podcast/modern-wisdom/modern-wisdom-981-mackenzie-price-alpha-school-a-new-approach-to-education,podpulse.ai,spoken-transcript-candidate,0.75,A-candidate,discovered
e45f9f1ae4,MacKenzie Price Alpha School Modern Wisdom 981 transcript,#981 - MacKenzie Price - Alpha School: A New Approach To Education,https://skipclips.com/episode/jKZkg3uv,skipclips.com,macKenzie-adjacent,0.60,B,discovered
0462fc0b76,MacKenzie Price Alpha School Modern Wisdom 981 transcript,#981 - MacKenzie Price - Alpha School: A New Approach To Education,https://www.iheart.com/podcast/256-modern-wisdom-30936734/episode/981-mackenzie-price-alpha-289704188/,www.iheart.com,spoken-transcript-candidate,0.75,A-candidate,discovered
7abcbaa6f2,MacKenzie Price Alpha School Modern Wisdom 981 transcript,#981 - MacKenzie Price - Alpha School: A New Approach To Education,https://open.spotify.com/episode/56Zq3V4jzzPwaw3hfusIgg,open.spotify.com,macKenzie-adjacent,0.60,B,discovered
9b2113d934,MacKenzie Price Alpha School Hard Fork podcast,A.I. School Is in Session: Two Takes on the Future of Education,https://open.spotify.com/episode/2bYRtBzSVbAlIr16h6GGb0,open.spotify.com,search-result-context,0.30,C,discovered
c4092442a3,MacKenzie Price Alpha School Hard Fork podcast,Hard Fork Podcast - A.I. School Is in Session: Two Takes on ... - Podbean,https://www.podbean.com/media/share/dir-mk3xd-2754ceb3,www.podbean.com,search-result-context,0.30,C,discovered
b7d0c4d762,MacKenzie Price Alpha School Hard Fork podcast,A.I. School Is in Session: Two Takes on the Future of Education - Hard ...,https://podscan.fm/podcasts/hard-fork/episodes/ai-school-is-in-session-two-takes-on-the-future-of-education,podscan.fm,search-result-context,0.30,C,discovered
8442f998c3,MacKenzie Price Alpha School Hard Fork podcast,A.I. School Is in Session: Two Takes on the Future of Education - Hard ...,https://www.iheart.com/podcast/326-hard-fork-71510947/episode/ai-school-is-in-session-two-292480347/,www.iheart.com,search-result-context,0.30,C,discovered
13845be21d,MacKenzie Price Alpha School Hard Fork podcast,A.I. School Is in Session: Two…-Hard Fork - Apple Podcasts,https://podcasts.apple.com/cv/podcast/a-i-school-is-in-session-two-takes-on-the-future-of-education/id1528594034?i=1000725137275,podcasts.apple.com,search-result-context,0.30,C,discovered
2df47cdf92,MacKenzie Price Alpha School Hard Fork podcast,A.I. School Is in Session: Two Takes on the Future of Education - Hard Fork,https://www.feiyanpod.com/episode/565431,www.feiyanpod.com,search-result-context,0.30,C,discovered
c742a17891,MacKenzie Price Alpha School Hard Fork podcast,How Alpha School Is Bringing A.I. to the Classroom | EP 152,https://www.youtube.com/watch?v=X-KzyPRdcmc,www.youtube.com,search-result-context,0.30,C,discovered
2f3e336ccc,MacKenzie Price Alpha School Hard Fork podcast,A.I. School Is in Session: Two Takes on the Future of Education | Hard ...,https://music.amazon.com/podcasts/7c7fe198-e6a8-41a8-b0fe-1d46b976dcd8/episodes/2be484d6-b4f8-4ed8-a970-67b6536edb6a/hard-fork-a-i-school-is-in-session-two-takes-on-the-future-of-education,music.amazon.com,search-result-context,0.30,C,discovered
89e16d849e,MacKenzie Price Alpha School Hard Fork podcast,A.I. School Is in Session: Two Takes on the Future of Education,https://www.listennotes.com/podcasts/hard-fork/ai-school-is-in-session-two-Ufh4GFot0jq/,www.listennotes.com,search-result-context,0.30,C,discovered
e67fa33dad,MacKenzie Price Alpha School YouTube interview,Alpha School - The Future of School Live Stream,https://alpha.school/the-future-of-school-live-stream/,alpha.school,search-result-context,0.30,C,discovered
737dc31f78,MacKenzie Price Alpha School YouTube interview,Inside Alpha Schools: How AI is transforming the traditional education ...,https://www.foxbusiness.com/video/6391639428112,www.foxbusiness.com,search-result-context,0.30,C,discovered
e91eb8ab3d,MacKenzie Price Alpha School YouTube interview,"This episode features Mackenzie Price, the co-founder of Alpha School ...",https://www.facebook.com/watch/?v=1196185352289077,www.facebook.com,macKenzie-adjacent,0.60,B,discovered
fef1541295,MacKenzie Price Alpha School YouTube interview,This AI-Powered School Teaches 2 Hours a Day—and Outperforms the Nation,https://www.prageru.com/videos/this-ai-powered-school-teaches-2-hours-a-day-and-outperforms-the-nation,www.prageru.com,search-result-context,0.30,C,discovered
efc4f17f61,MacKenzie Price Alpha School YouTube interview,Video How is AI shaping the future of education? - ABC News,https://abcnews.com/video/129860135/,abcnews.com,search-result-context,0.30,C,discovered
1c6aa8443a,MacKenzie Price Alpha School YouTube interview,Alpha Schools reimagine education through AI - CBS Los Angeles,https://www.cbsnews.com/losangeles/video/alpha-schools-reimagine-education-through-ai/,www.cbsnews.com,search-result-context,0.30,C,discovered
