start	end	text
173520	174360	Find those things.
174360	176880	In fact, I have a friend who got into,
176880	179080	her daughter was really interested,
179080	181760	loved horses and loved archery
181760	182920	because she'd done some archery
182920	185400	during like a day camp she'd gone to.
185400	188240	She ended up becoming a nationally ranked
188240	190160	horseback archery person.
190160	191400	I didn't even know it was a sport,
191400	194600	but it's an example of something that is pretty cool
194600	195440	that can be done.
195440	197240	And so I totally feel for you.
197240	200120	The other thing is there are some great apps
200200	203600	that are out there where your kid could,
203600	205560	maybe go find some things they're interested
205560	209760	around applying math or whatever subject he's interested in.
209760	212480	I remember when my daughter was in second grade,
212480	215200	she got really interested in the Revolutionary War
215200	217280	because her grandma had given her a book
217280	218720	about the American Revolution.
218720	220240	I had gone to the school and said,
220240	222120	hey, could she work on a project in school?
222120	225200	The teacher said, nope, she cannot.
225200	227640	But I kept kind of going at it.
227640	229200	And eventually what we did was we worked
229200	231520	on a project at home and we got the teacher
231520	234560	to give us 10 minutes, a whopping 10 minutes of time
234560	236280	for her to present in front of the class,
236280	239200	which was a fun thing for her to do as a second grader.
239200	240520	So all that to say,
240520	242760	I really hope we'll get an alpha to wherever you are.
242760	246800	And in the meantime, just try to help
246800	248560	that really brilliant kid of yours
248560	250240	to just find things that he's interested in,
250240	251440	excited about.
251440	253080	Here's another thing that's actually pretty cool
253080	256720	that I think sometimes people forget to do.
256720	259680	YouTube is something that is such a fun thing
259680	262680	for parents and kids to watch together.
262680	265760	Like go watch these experiments that people do on YouTube,
265760	267360	watch some of the challenges that they do,
267360	270120	and do them together and then use those opportunities
270120	273200	as a time to be able to maybe ask questions.
273200	274440	Like, well, what would we do
274440	277640	if we were trying to build a squirrel catching device
277640	279920	like Mark Rober did?
279920	282160	By the way, I got to talk with him the other day.
282160	283000	That was pretty cool.
283000	286520	He's gonna do some work with our science curriculum
286760	287920	at Alpha, I know.
287920	288760	Super exciting.
288760	289800	He was here.
289800	290640	He was here.
290640	291880	I actually wanted to get him on a podcast,
291880	294280	but I was busy and he was busy.
294280	296480	All that to say, just find things
296480	297480	that your kid's excited about
297480	299800	and find ways that you and he can connect
299800	301680	on going deeper into subjects,
301680	304120	figuring out how to become an expert on that.
304120	306160	Okay, this next question is from a student.
306160	307760	And I love when I get student questions
307760	309880	because I love the fact that there are kids out there
309880	312600	who are saying, hey, how can I take ownership
312600	313960	and control over my education?
313960	316000	And so this question actually is,
316000	319000	how can I become a student who is able to make decisions
319000	320960	for their education on their own?
320960	322880	Okay, I'm gonna give you a couple of examples.
322880	325200	So at Alpha High School,
325200	328080	we have high schools popping up throughout the country,
328080	330680	but Austin, Texas is where our main high school is.
330680	333800	And we've had at least four students
333800	338000	who have reached out to me directly on Instagram
338000	341440	and said, hey, I want to become a student at your school.
341440	345280	And those students have gotten full scholarships.
345280	348440	They absolutely came in and said, I'll figure this out.
348440	349840	Let me work on this, let me get to know.
349840	351080	They went through the interview process,
351080	351920	they did everything.
351920	352760	And I said, what about your parents?
352760	353600	Do they care?
353600	354720	And he's like, I'll work on my parents.
354720	356400	And so their parents kind of came in
356400	358400	towards the end of that experience.
358400	360200	But I love the fact that I had students
360200	362760	who reached out directly to me and just said,
362760	365320	I want to be in an environment that helps us
365320	367200	and how can I make that happen?
367200	369280	And I think that's a great thing to do.
369280	371400	And so the best thing you can do
371400	373100	is arm yourself with research.
373100	374540	When you're thinking about what is it
374540	376620	that you want to do in terms of your education,
376620	379940	maybe you're going to the local public high school
379940	383140	and you want to transfer into another district school
383140	385500	or you want to try one of these micro schools
385500	388340	or maybe you want to do online or home school,
388340	390540	come up with research that you can then present
390540	393740	to your parents around, here's why I believe
393740	395380	that this path is going to be best for me.
395380	397900	And as part of that, figure out what are your priorities?
397900	399140	What do you care about?
399140	401020	What do you feel like you want to focus on?
401220	403780	And I think when you present that in a way
403780	405380	where your parents kind of understand
405380	410380	this kid is really thoughtfully going about this decision
410980	413180	and figuring out where the right environment
413180	414100	is going to be for him,
414100	416540	I think your parents will be willing to listen to you.
416540	419020	Okay, here's another question I often get.
419020	421660	How could I implement something like your school
421660	423740	in my public school classrooms?
423740	426180	So this comes from a teacher and teachers,
426180	428100	you guys are awesome, you're absolute heroes.
428100	430660	You know, I say it all the time, you're overworked,
430660	433300	you're underpaid and you're underappreciated.
433300	434860	So I love when I hear from teachers saying,
434860	437100	how can I bring a little bit of the alpha spirit
437100	438460	into my classroom?
438460	440740	And I'm gonna give you a few tips of things that you can do.
440740	443460	So first of all, motivation, in our opinion,
443460	446440	is 90% of what creates a great learner.
446440	448060	It's being a motivated student.
448060	451220	And so there's a lot of different motivation mechanisms
451220	453860	and models that you can put into your classroom
453860	455380	that can help kids get excited
455380	457220	and they don't have to be expensive.
457220	459660	They can be as simple as earning stickers.
459660	462900	And I'm telling you, we even do a sticker motivation model
462900	465500	in our high school and our high school students get excited.
465500	467700	My daughter, who was a senior came to me
467700	469940	and she's like, look at this amazing super cool
469940	471860	Taylor Swift guitar sticker that I got
471860	473620	when I earned all my points for the day.
473620	475660	And I remember being like, you're 18
475660	476580	and you care and she's like,
476580	479380	but you've never seen this Taylor Swift sticker.
479380	481460	And it was, it was really cool to see.
481460	484300	And so you can do a lot of different things,
484300	485980	earning time to go do things,
485980	487780	earning the privilege of how you work.
487780	489020	Maybe you create a classroom
489020	492020	where you've got like a really cool space,
492020	495220	beanbags or something that's comfortable.
495220	499420	And as kids get their work done and earn their privileges,
499420	501860	they get to earn time to go work in that area.
501860	504260	That's something we absolutely incorporate a lot.
504260	506020	And so I think motivation is something
506020	507900	that unfortunately traditional schools
507900	509620	don't pay any attention to.
509620	511340	And what are the things that you can do
511340	516260	for individual or group motivation type of projects?
516260	518300	That's something that I would absolutely encourage
518420	519260	that you implement.
519260	521420	You can even do an in-school currency.
521420	523860	We pay our students, you can do an in-school currency.
523860	527380	And then maybe that money that kids earn at the end
527380	531940	earns them the ability to go do a volleyball game
531940	534500	in the park on a Saturday morning altogether.
534500	537380	And you figure out how to get maybe parents to chip in
537380	539500	to bring a pizza or something like that.
539500	540780	So there are ways to do it.
540780	543140	It does require some creativity and extra work,
543140	547660	which I know that you teachers already have so much of.
547660	549380	But there's things you can do there.
549380	550940	Here's a question from somebody
550940	553180	who has started their own micro school.
553180	557300	And the question is I'd love to use more AI in my micro school,
557300	559980	but I don't know where to start.
559980	563220	So there's two uses of AI that we're doing
563220	564580	within our schools.
564580	567300	The first use of AI is that we're using AI
567300	571180	to create individualized lesson plans
571180	573500	and provide assessment and direction
573500	575940	for students when it comes to their academics.
576140	578460	And we're using a lot of adaptive apps to do that.
578460	580900	So that might be something you're thinking
580900	581900	about trying to implement.
581900	583660	I do have good news for you.
583660	587060	Our time back learning platform is going to be putting out
587060	590260	more and more software and apps
590260	595260	that you will be able to use and download from the app store.
596540	599860	So keep an eye out for that because it's coming.
599860	604380	But the other way that we use AI is part of our afternoons.
604420	607300	We're teaching kids how to use AI tools
607300	609820	to do what we say is give them superpowers.
609820	612380	So for example, we do public speaking workshops
612380	614180	where our students are working on public speaking.
614180	616780	I was just in our four year old class yesterday.
616780	617980	We were having a parent meeting
617980	620020	talking about some of the upcoming workshops.
620020	622660	And we were talking about the public speaking workshop
622660	625220	where these four year olds in six weeks
625220	626940	are gonna be able to speak in front of an audience
626940	629980	of 40 plus people that they don't know.
629980	632660	And we're gonna be using some AI tools
632660	637580	to help them with feedback on their projection
637580	640900	and their eye contact and how they're speaking
640900	643460	and helping them memorize the speeches
643460	645100	that they're gonna be giving.
645100	646980	This is all wrapped up into like a
646980	649740	about the world culture kind of learning thing
649740	652540	that they're gonna be able to do research with their parents
652540	654300	about maybe where their family's from
654300	655500	or something like that.
655500	657580	And so they're using tools like that.
657580	659100	Here's another thing that we're doing.
659100	661380	We're doing a growth mindset workshop
661420	662980	with our four year olds as well.
662980	665740	And the test to pass at the end of the workshop
665740	669620	is that these students will be able to complete a Lego set
669620	672140	for 11 year old plus kids.
672140	673420	So these are four year olds.
673420	677020	And where we're using AI there is we're using AI
677020	679420	to record what they say to themselves
679420	682660	as they're going through this Lego setup process
682660	684860	and then be able to provide coaching
684860	687740	around how we can implement more growth mindset stuff.
687740	690140	So if they get frustrated or if they ask for help,
690180	693540	what are the ways that we can coach them?
693540	695220	That's some of the stuff we're doing
695220	699500	within our classrooms to help with building out life skills.
699500	703060	Then there's the other part of AI usage that we're teaching
703060	706180	is that kids can learn to do things like vibe coding
706180	710340	to create video games or movies and videos
710340	713100	or building out graphic novels,
713100	716020	building art through AI tools.
716020	719460	That is something that is gonna be such an important skill
719500	722340	for young people to have as they go out in the world
722340	723860	is not just the ability to know about
723860	725740	how to use AI tools now,
725740	728060	but how to constantly be up to date
728060	730420	on the newest and best technology.
730420	733260	In fact, I'm seeing this in my own job
733260	736180	is that a tool that wasn't good two weeks ago
736180	738060	is now suddenly so much better.
738060	741260	So we're always helping students kind of learn
741260	742780	how they can use AI tools
742780	744700	in really positive and healthy ways.
744700	746300	And that's something that you can be doing.
746300	749700	Now, part of that requires you to also become an expert
749700	752340	in all the latest and greatest AI tools.
752340	755060	Here's a question that I get a lot from parents
755060	756860	who are really worried about screen time.
756860	757700	And this question is,
757700	761460	how can I balance recommendations for screen time limits
761460	764860	for four and five year olds with AI learning?
764860	766380	Let me tell you very clearly,
766380	771100	there are lots of differences in types of screen time.
771100	773620	Not all screen time is created equal.
773620	775780	So letting your kid brain rot,
775780	778460	watching YouTube videos by themselves
778460	782380	or watching TikTok or as a four or five year old
782380	785700	just watching cartoons endlessly,
785700	787380	that is something very different
787380	789780	than giving your four year old
789780	791900	an ability to start working on math.
791900	794940	So for example, our four year olds in our pre-K classrooms
794940	798580	are using Mentava to do some reading lessons
798580	800140	that they're working on.
800140	802020	They're also working on math apps.
802020	803860	And what's amazing actually,
803860	806980	is in only the first half of our school year,
806980	811060	our four year olds have already completed their pre-K
811060	813440	content for both math and reading.
813440	816100	So these kids are coming in so far ahead of the game
816100	817820	and they've still got four months
817820	819380	before the end of the school year
819380	821740	when they'll then graduate to be kindergartners.
821740	826740	And so you can have your kid do 15 minutes a day of math
828500	830760	or 15 minutes of reading and phonics.
830760	833960	Now, one thing I do want to provide as a disclaimer,
833960	837120	for young children, four and five year olds especially,
837120	840120	there is nothing better than human reading
840120	841800	and connecting and reading with your kids,
841800	844640	making sure that they're understanding how to use phonics.
844640	846960	So we do a lot of that at that age group.
846960	849780	You cannot just solely rely on an AI app
849780	852520	to teach your four year old to read.
852520	855120	It's really important that you have that human time.
855120	857680	But the other thing is you can also do screen time
857680	860520	with your kids where they're working on creative endeavors.
860520	862520	Maybe they're looking at some sort of art project,
862520	863440	something like that.
863440	866720	So I think the thing that I would maybe recommend
866720	870400	as a parent is just when you hand your kid an iPad
870400	872480	or you put them in front of a computer screen,
872480	874480	think about what it is that they're doing.
874480	877440	Are they sitting passively where they're just consuming
877440	882240	content or are they engaging actively in what it is
882240	884000	that they're working on and are they learning?
884000	885160	That's the thing I'll think.
885160	886440	I do know it's a hard thing.
886440	888240	I remember when my kids were young,
888240	891280	that's right about the time that we started having
891280	894480	phones come out that you could watch videos on.
894480	898600	And it felt so easy to just say, here, take my phone.
898600	902040	And it made having dinner a little bit easier,
902040	904000	something like that at a restaurant.
904000	907800	I never allowed screens at dinner at home,
907800	911600	but I definitely fell victim to it at restaurants a lot.
911600	914640	And so these are things that we just,
914640	915520	there's a lot of balance.
915520	917520	But again, not all screen time is equal.
918520	920200	That wraps up part one of this episode,
920200	922440	but don't worry, there's a part two coming soon.
922440	924240	Thanks for listening to Mackenzie Price
924240	926680	and the Future of Education podcast.
926680	928200	If you haven't hit that subscribe button,
928200	929440	now is the time to do it,
929440	932200	so you can stay up to date on all our episodes.
932200	934400	You can connect with Mackenzie on social media
934400	937200	and be part of our daily conversation over on Instagram
937200	940120	at futureofunderscoreeducation.
940120	942200	Lastly, if you're loving what you're learning,
942200	945440	please leave a review wherever you listen to podcasts.
945440	946880	We'll be back in your feed soon,
946960	949360	but until then, remember, kids are limitless
949360	951560	and it's our job to unlock their potential.
